query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_faithfulness,expected_response,generated_response
q_0,Were Scott Derrickson and Ed Wood of the same nationality?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4394.8,20,5,True,1.0,1.0,comparison,2,f1_score,1.0,1.0,0.2,yes,Yes
q_1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.8,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.0,Chief of Protocol,She was the United States Ambassador to Ghana.
q_2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2049.1,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,Animorphs,Animorphs
q_3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2472.8,20,5,True,0.5,1.0,comparison,2,f1_score,1.0,1.0,0.2,no,No
q_4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2544.2,20,5,True,0.5,1.0,bridge,2,f1_score,0.75,0.0,1.0,"Greenwich Village, New York City",New York City
q_5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,1697.4,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,YG Entertainment,YG Entertainment
q_6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,3182.8,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,Eenasul Fateh,Eenasul Fateh.
q_7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2391.8,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,1.0,"3,677 seated","3,677"
q_8,"Who is older, Annie Morton or Terry Richardson?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2256.4,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.1,Terry Richardson,I don't know.
q_9,Are Local H and For Against both from the United States?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2991.8,20,5,True,0.5,1.0,comparison,2,f1_score,0.0,0.0,0.1,yes,no
